id,nome,categoria,endereco_rua,numero,bairro,endereco_formatado,latitude,longitude,cuisine,site
11886704390,Pizza Hut,Restaurante,Rua Alda Nogueira,6,,"Rua Alda Nogueira, 6",38.7074537,-9.2090403,pizza,https://www.pizzahut.pt/restaurantes/restelo/
11886704392,Gin Lovers,Depósito de Bebidas,Rua Mem Rodrigues,4,,"Rua Mem Rodrigues, 4",38.7081149,-9.2086932,Não especificada,https://ginlovers.pt/
11901260957,11:11,Café,Rua dos Jerónimos,14,,"Rua dos Jerónimos, 14",38.6991028,-9.2053374,Não especificada,
11901260959,BELEM KEBAB & PIZZARIA,Restaurante,Rua dos Jerónimos,16,,"Rua dos Jerónimos, 16",38.6992775,-9.2054078,pizza;kebab,
11990429457,Mercadinho,Loja de Conveniência,Travessa Mauriti,4399,Marco,"Travessa Mauriti, 4399 - Marco",-1.4433392,-48.4491032,Não especificada,
11990936899,Sem Nome Registrado,Restaurante,Avenida Duque de Caxias,1490,Marco,"Avenida Duque de Caxias, 1490 - Marco",-1.4249672,-48.4583672,Não especificada,
11990938083,Açaí Espeto e Cia,Estabelecimento Informal (Churrasquinho/Taberna),Travessa Alferes Costa,2907,Marco,"Travessa Alferes Costa, 2907 - Marco",-1.4263428,-48.4559756,Não especificada,
12007404526,Sem Nome Registrado,Restaurante,Avenida Rômulo Maiorana,2571,Marco,"Avenida Rômulo Maiorana, 2571 - Marco",-1.4261362,-48.4558271,Não especificada,
12007424209,Açaí Espetos e Cia,Estabelecimento Informal (Churrasquinho/Taberna),Avenida Romulo Maiorana,2567,Marco,"Avenida Romulo Maiorana, 2567 - Marco",-1.4261147,-48.45585,Não especificada,
12134357761,Me Gusta,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4529305,-48.4762482,coffee_shop;ice_cream;breakfast,
12138000103,Tudo Conveniência José Malcher,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.44813,-48.4722337,Não especificada,
12146243087,Bar do Jorge,Pub/Bar,Travessa 25 de Junho,,Guamá,Travessa 25 de Junho - Guamá,-1.4747141,-48.4599242,Não especificada,
12147161944,Sem Nome Registrado,Pub/Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.3311042,-48.4414931,Não especificada,
12147161945,Erica's Bar,Pub/Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.3312464,-48.4411524,Não especificada,
12147161947,Sem Nome Registrado,Pub/Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.3304593,-48.4373852,Não especificada,
12147161949,Sem Nome Registrado,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.3302101,-48.4371159,Não especificada,
12147161950,Pizzaria Piazzare,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.3303656,-48.4368396,pizza,
12147161951,Medeiros,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.3300318,-48.4361892,Não especificada,
12147161952,Panificadora Leticia,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.3284608,-48.434843,Não especificada,
12202881436,Brasa King,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.455642,-48.4916167,Não especificada,
12212920213,Deck Belém,Restaurante,Av. Marquês de Herval,941,Pedreira,"Av. Marquês de Herval, 941 - Pedreira",-1.4319482,-48.4712481,Não especificada,
12212942701,Villa Park,Restaurante,Av. Marquês de Herval,1001,,"Av. Marquês de Herval, 1001",-1.4315178,-48.471001,Não especificada,
12306437100,Sem Nome Registrado,Loja de Conveniência,Passagem Iracema,,Marambaia,Passagem Iracema - Marambaia,-1.4007339,-48.4478463,Não especificada,
12306438505,Sem Nome Registrado,Pub/Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4020545,-48.451517,Não especificada,
12310336796,Studio Pub,Pub/Bar,Travessa Presidente Pernambuco,,,Travessa Presidente Pernambuco,-1.4575071,-48.4925172,Não especificada,
12314029444,Restaurante do Macacário,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4725538,-48.45805,Não especificada,
12320363231,Xi-Hu,Restaurante,Rua de belem,97,,"Rua de belem, 97",38.6972562,-9.2031331,chinese,
12320363233,Taberna Belém,Restaurante,Rua de Belém,85,,"Rua de Belém, 85",38.6972404,-9.2030233,Não especificada,
12320363234,Restaurante Adamastor,Restaurante,Rua de Belém,83,,"Rua de Belém, 83",38.6972379,-9.2029924,Não especificada,
