DISTRITO,BAIRRO,END_COMPLETO,NUM_ENDERECO,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,COD_INDICADOR_ESTAB_ENDERECO
DAMOS,CARUARA,ESTRADA  DO CARUARA,0,-1.093932,-48.400369,BAR E RESTAURANTE O POINT DO MAMUTE,1.0
DAMOS,SAO FRANCISCO,RUA  GRANJA,3,-1.108828,-48.416737,BAR,1.0
DAENT,CASTANHEIRA,RUA  ALVARO ADOLFO,196,-1.402468,-48.43373,NANDA RESTAURANTE,2.0
DAENT,CASTANHEIRA,RUA  ALVARO ADOLFO,196,-1.402424,-48.433526,RESTAURANTE,1.0
DAGUA,MONTESE (TERRA FIRME),PASSAGEM  RUI BARBOSA,4,-1.457361,-48.448222,BAR DA MARA,1.0
DAENT,CASTANHEIRA,PASSAGEM  JOSE BONIFACIO,61,-1.403422,-48.43256,FABRICACAO DE TAPIOCA,1.0
DABEL,MARCO,PASSAGEM SAO BENEDITO,253,-1.43364,-48.467517,BOTECO,1.0
DABEL,MARCO,PASSAGEM SAO BENEDITO,282,-1.433523,-48.46765,BAR,1.0
DABEL,MARCO,AVENIDA  JOAO PAULO II,400,-1.444849,-48.460169,CHURRASCARIA TOURO BRAVO,1.0
DAICO,PARACURI,TRAVESSA  DA SOLEDADE,1416,-1.310315,-48.480762,VENDA DE CHURRASCO,1.0
DABEN,TAPANA,TRAVESSA  HAROLDO VELOSO,182,-1.340891,-48.47547,BAR,1.0
DASAC,SACRAMENTA,PASSAGEM  SANTOS,187,-1.415473,-48.481278,BAR,1.0
DAENT,MANGUEIRAO,RUA  DO CANAL,0,-1.381302,-48.449233,BAR PAGODAO DO NILTON,1.0
DAENT,MANGUEIRAO,RUA  DO CANAL,61,-1.381565,-48.449203,BAR DO PAULO,1.0
DABEL,MARCO,TRAVESSA  ANGUSTURA,4185,-1.438975,-48.450277,DEPOSITO DE BEBIDAS,1.0
DASAC,SACRAMENTA,AVENIDA SENADOR LEMOS,0,-1.415976,-48.475826,BAR,1.0
DASAC,SACRAMENTA,AVENIDA SENADOR LEMOS,3542,-1.415788,-48.475286,RESTAURANTE SABOR CASEIRO,1.0
DASAC,SACRAMENTA,AVENIDA SENADOR LEMOS,3522,-1.415881,-48.475591,CAFE VITORIA,1.0
DASAC,SACRAMENTA,PASSAGEM COMENDADOR PINHO,110,-1.416762,-48.47497,RESTAURANTE CHEMEGO DO JUNIOR,1.0
DAGUA,JURUNAS,AVENIDA  BERNARDO SAYAO,1475,-1.475114,-48.494614,RESTAURANTE,1.0
DASAC,SACRAMENTA,TRAVESSA  ALFERES COSTA,574,-1.414204,-48.474075,BAR CASTELINHO,1.0
DASAC,SACRAMENTA,TRAVESSA  ALFERES COSTA,580,-1.414226,-48.473876,BAR CASTELINHO WIFI,1.0
DAMOS,SAO FRANCISCO,RUA  STELIO MAROJA,56,-1.113102,-48.42107,BAR DO PC,1.0
DASAC,TELEGRAFO,RODOVIA  ARTHUR BERNADES,649,-1.422582,-48.489462,BAR,1.0
DASAC,TELEGRAFO,RODOVIA  ARTHUR BERNADES,665,-1.422491,-48.489558,BAR,1.0
DAGUA,CANUDOS,RUA DOUTOR SILVA ROSADO,638,-1.451988,-48.460092,DEPOSITO DE BEBIDAS,1.0
DAGUA,CANUDOS,TRAVESSA  FRANCISCO MONTEIRO,866,-1.453295,-48.459938,BAR ZAMORIM,1.0
DASAC,BARREIRO,PASSAGEM  UNIAO,0,-1.410802,-48.4805,DEPOSITO DE BEBIDAS,1.0
DAMOS,CARANANDUBA,RODOVIA  PA 391,440,-1.099607,-48.404382,BAR,1.0
DAMOS,CARANANDUBA,RODOVIA  PA 391,426,-1.099267,-48.404722,BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,PASSAGEM  ALFREDO FRAZAO,21,-1.259802,-48.46502,CYBER CAFE,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,152,-1.25754,-48.469473,LANAS BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,476,-1.256887,-48.468801,BAR NOSSA BARRACA,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,3,-1.25765,-48.469533,BAR E RESTAURANTE DAMA DE OURO,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,528,-1.256812,-48.468794,BAR E RESTAURANTE SABOR TROPICAL,1.0
DASAC,PEDREIRA,VILA NOSSA SENHORA DE FATIMA,2,-1.421176,-48.469676,BAR,1.0
DASAC,PEDREIRA,TRAVESSA  PIRAJA,130,-1.42168,-48.46831,RESTAURANTE,1.0
DAMOS,FAROL,ALAMEDA  SOUZA,0,-1.140696,-48.463126,BAR DO LOURO,1.0
DASAC,PEDREIRA,AVENIDA MARQUES DE HERVAL,2038,-1.423616,-48.465122,CAFE PLENITUDE,1.0
DAICO,MARACACUERA,PARQUE  ZOGBI,54,-1.295234,-48.456311,BAR DO BETO,1.0
DAOUT,BRASILIA,AVENIDA  BL 10,1976,-1.281446,-48.47606,RESTAURANTE SALMO 23,1.0
DAOUT,BRASILIA,AVENIDA  BL 10,0,-1.281089,-48.475814,RESTAURANTE DA GIL,1.0
DAICO,CAMPINA DE ICOARACI,RUA  OITO DE SETEMBRO,61,-1.298038,-48.475556,RESTAURANTE COMIDA CASEIRA DOS ANJOS,1.0
DAICO,CAMPINA DE ICOARACI,RUA  OITO DE SETEMBRO,0,-1.298069,-48.475397,BAR,4.0
DAICO,CAMPINA DE ICOARACI,RUA  OITO DE SETEMBRO,77,-1.298027,-48.4754,BAR,1.0
DAMOS,MARAHU,RUA  BEIRA RIO,0,-1.073851,-48.402527,BAR E RESTAURANTE BOA ESPERANCA,1.0
DAMOS,VILA,RUA  QUINZE DE NOVEMBRO,1210,-1.164461,-48.468695,DEPOSITOS DE BEBIDAS,1.0
DAGUA,CONDOR,RUA  DOS TAMBES,62,-1.470317,-48.479028,RESTAURANTE NOSSO POINT,1.0
DASAC,FATIMA,AVENIDA MARQUES DE HERVAL,0,-1.437368,-48.474274,TAPIOCARIA E HAMBURGUERIA DA JOSI,1.0
DASAC,PEDREIRA,AVENIDA MARQUES DE HERVAL,228,-1.437325,-48.474415,TAPIOCARIA E HAMBURGUERIA DA JOSI,1.0
DASAC,TELEGRAFO,RODOVIA  ARTHUR BERNADES,813,-1.421733,-48.490029,RESTAURANTE SAO JOSE,1.0
DAGUA,GUAMA,PASSAGEM NOSSA SENHORA DAS GRACAS,334,-1.456124,-48.455534,BAR,1.0
DAENT,CURIO-UTINGA,AVENIDA  JOAO PAULO II,123,-1.430103,-48.44991,ESQUINA BAR,1.0
